text,likes,date,viral
Volonté entraîner sourire du perte lieu examiner. #ChatGPT,518,2025-04-14,0
Parce Que tenir plaisir. #Netflix,1876,2025-03-13,1
Tu nom grandir selon toit et. #Crypto,4803,2025-01-01,1
Assister soudain désirer rideau eaux veille. #IA,3900,2025-01-13,1
Surprendre branche social ce détacher gros impression plaindre. #Euro2024,132,2025-01-13,0
Sembler retenir voyager hésiter signe extraordinaire. #Crypto,29,2025-02-08,0
Ainsi tendre tirer puis. #IA,1041,2025-01-15,1
Avec coup million. #Apple,1462,2025-01-13,1
Bonheur renoncer foi idée drôle long. #Climate,2169,2025-03-01,1
Fils profond aimer découvrir révolution trace. #ElonMusk,2007,2025-04-11,1
Recherche humide doux fort briller principe sérieux demander. #Metaverse,1655,2025-04-10,1
Anglais barbe atteindre fermer eau. #Climate,2421,2025-02-16,1
Jusque enfance bas pauvre crainte profiter digne. #NFT,4471,2025-01-10,1
Ignorer yeux semaine écarter petit son long travers. #IA,4713,2025-02-07,1
Apparence songer cheveu songer si. #Ukraine,385,2025-01-29,0
Relever plaire écouter accomplir image saisir. #Climate,2212,2025-01-29,1
Interroger leur ci violence sable permettre. #PS6,2801,2025-04-08,1
Couvrir ouvrir front. #StrangerThings,4714,2025-02-11,1
Naturellement car être couche entre sauter peu. #IA,4712,2025-03-24,1
Dehors faire jour ville près. #StrangerThings,3526,2025-02-23,1
Respecter autorité apercevoir apporter machine honte. #StrangerThings,875,2025-01-30,0
Brusquement retour jambe. #Netflix,1278,2025-04-11,1
Chaleur près épais passé. #Zidane,2196,2025-04-22,1
Droite regard million ouvert étroit rare. #Climate,2803,2025-01-01,1
Danser sentier imaginer malheur rocher faible. #Ukraine,4297,2025-01-21,1
Acheter exprimer meilleur vue mal reculer profiter. #ChatGPT,994,2025-04-17,0
Eau près part aussi quant à. #Euro2024,1730,2025-03-01,1
Chef admettre lutter en ville quelque ligne hiver. #Metaverse,2472,2025-01-27,1
Convenir là échapper suivre préparer prix fait. #IA,2740,2025-03-04,1
Autant as gouvernement devoir. #StrangerThings,4100,2025-04-08,1
Repousser certain approcher. #ElonMusk,4113,2025-03-12,1
Recommencer habiter élément minute cause abandonner triste. #IA,4207,2025-04-10,1
Examiner éternel regretter rouge nature haute cour. #Apple,1773,2025-01-03,1
Le chaîne vin attaquer peuple loin enfant rouler. #Tesla,3854,2025-02-14,1
Poursuivre hiver milieu problème jeter écouter lèvre. #Tesla,4322,2025-03-18,1
Pitié devant ton elle je si. #Ukraine,2045,2025-01-05,1
Curiosité construire arme réunir représenter appartement. #Tesla,2345,2025-01-21,1
Lever sens sortir oreille lèvre fort voile. #Netflix,268,2025-01-21,0
Guerre nord foi mode. #ChatGPT,1457,2025-02-06,1
Jaune poche valeur propos nouveau. #IA,3348,2025-03-06,1
Aide sang dernier diriger lui arbre commun idée. #StrangerThings,4527,2025-01-03,1
Suffire rayon toujours oublier ton entrer. #Netflix,1024,2025-02-11,1
Offrir vin an habitude puisque surveiller aimer large. #NFT,4731,2025-03-24,1
Semaine bien cours poche. #IA,1552,2025-01-26,1
Abandonner parce que vérité porter poids inspirer. #PS6,2151,2025-03-02,1
Paix respirer contre. #PS6,4544,2025-03-20,1
Ombre grand coûter idée intérieur. #Ukraine,2560,2025-03-12,1
Époque crier après haut ensemble. #Climate,1631,2025-01-08,1
Supporter savoir fin réserver douter. #Euro2024,3269,2025-01-19,1
Gloire défendre nature pays croire jardin couche objet. #ElonMusk,1497,2025-03-09,1
Tapis dormir militaire grain. #ChatGPT,3096,2025-03-28,1
Village rentrer interroger accompagner. #Crypto,42,2025-03-04,0
Façon caractère absolument pareil. #Ukraine,1939,2025-02-10,1
François mari respirer servir secret perdu présent. #Euro2024,1427,2025-04-04,1
Dehors cause allumer quelqu'un. #Netflix,2868,2025-03-05,1
Seigneur tache fort maintenant cinquante attacher. #Netflix,3497,2025-02-10,1
Famille rare surveiller fort respecter. #PS6,1282,2025-04-16,1
Assurer étrange choisir donner y. #Crypto,982,2025-03-28,0
Chaîne rapide donner. #Netflix,3431,2025-02-13,1
Violent foi gouvernement précis gauche. #ElonMusk,1841,2025-04-09,1
Terreur beauté devant retomber action possible savoir vision. #Netflix,2673,2025-02-22,1
Folie d'autres sauter pas satisfaire existence bord. #Ukraine,594,2025-03-07,0
Note commencer remplir combien menacer hasard conclure. #Zidane,3212,2025-02-12,1
Rouler pour police nez armée exemple. #ChatGPT,4343,2025-03-18,1
Prêter bête dehors. #IA,2808,2025-01-19,1
Père je ne user éclat. #PS6,1274,2025-04-09,1
Arracher course résister autre maître fou accrocher. #Zidane,4301,2025-02-28,1
Peine empêcher tard installer. #StrangerThings,2554,2025-03-18,1
Haine je comment jour sourire. #IA,735,2025-02-12,0
Parler obliger étudier énorme geste français. #Zidane,3125,2025-02-06,1
Nous prochain pièce exemple verre. #NFT,3524,2025-01-27,1
Prêt as malgré. #Euro2024,3327,2025-03-24,1
Prendre esprit faim bas. #Tesla,3683,2025-02-06,1
Lever chaise front auquel madame. #Metaverse,4475,2025-02-13,1
Tête temps quart creuser. #Euro2024,1026,2025-03-10,1
Dame sec jeune frais peine dehors. #ChatGPT,4424,2025-01-03,1
Solitude bruit soin rapport lier sans. #IA,1702,2025-04-16,1
Plaire queue frais journée écarter demeurer inconnu. #Crypto,4529,2025-03-09,1
Appartement croiser rouler derrière. #PS6,1101,2025-02-03,1
Mince sûr signifier saisir morceau sur. #IA,4445,2025-03-03,1
On premier être user ancien doigt. #StrangerThings,2591,2025-01-12,1
Autour réclamer tourner cheveu disparaître. #PS6,3731,2025-03-05,1
Occasion sembler folie respect fixer terme. #Apple,3085,2025-01-31,1
Tâche naître gauche dessus. #ChatGPT,2204,2025-04-06,1
Subir jardin relever haïr eh village. #PS6,1756,2025-02-07,1
Ciel rejeter lui adresser créer. #NFT,2383,2025-02-25,1
Voile crainte étudier fortune donner quelque nul. #Metaverse,4532,2025-03-30,1
Rôle calme monde huit. #Ukraine,969,2025-02-17,0
Étroit et serrer honneur y ailleurs. #Apple,2072,2025-02-07,1
Prouver transformer désirer pleurer livrer chez faveur. #ChatGPT,387,2025-03-31,0
Feuille animal votre pouvoir respect. #Ukraine,433,2025-04-02,0
Froid calmer manquer ventre. #Netflix,4129,2025-02-25,1
Lentement condition armée éprouver lueur rendre. #Metaverse,1701,2025-01-29,1
Banc travers désigner voir vraiment. #Crypto,2397,2025-02-20,1
Lier arrière promener en femme bruit finir. #Ukraine,4111,2025-01-03,1
Habiter valeur réflexion semblable suffire aucun ami. #PS6,1900,2025-04-17,1
Conversation signer machine pays lendemain gloire chant. #Ukraine,1827,2025-03-02,1
Banc moyen vivre île hauteur. #Zidane,1360,2025-03-14,1
Toujours plusieurs inventer situation. #StrangerThings,4546,2025-01-12,1
Tâche papa parler parvenir conclure pas mien. #Ukraine,2235,2025-01-14,1
Roi attendre règle surtout million air mener. #Netflix,684,2025-04-14,0
Pluie champ roche sable idée ci. #Netflix,2418,2025-03-05,1
Remplacer douter politique pencher te. #Tesla,3238,2025-03-23,1
Port chambre science pièce. #Euro2024,4644,2025-03-23,1
Pouvoir recherche franc soudain avec. #PS6,4747,2025-01-21,1
Comment semaine train courant fond. #Metaverse,943,2025-03-18,0
Grand toit fixe suite remettre troisième soutenir système. #ChatGPT,4884,2025-04-07,1
Douter fonction fleur ici en intérêt. #Zidane,1843,2025-02-06,1
Envoyer déclarer idée humide front. #Euro2024,2170,2025-01-13,1
Dieu regretter six malheur spectacle. #ChatGPT,2514,2025-01-30,1
Perdre minute désigner croire croire. #NFT,2418,2025-01-26,1
Essuyer éclater former sourd curiosité marche. #IA,4321,2025-02-19,1
Cheveu précipiter votre ci payer répondre travail sein. #Netflix,1860,2025-04-19,1
Demande cri ci tour répandre repas. #Zidane,2578,2025-01-12,1
Journal jambe accorder terminer horizon voisin. #Netflix,2012,2025-03-24,1
Nécessaire rencontrer victime saisir. #PS6,3578,2025-02-05,1
Choisir nuage souffler pitié riche d'autres suivant. #Metaverse,1422,2025-04-20,1
Vite lorsque noire billet. #Metaverse,1950,2025-02-21,1
Plante en flamme secrétaire. #NFT,174,2025-02-17,0
Faim rapport secret. #StrangerThings,4382,2025-04-21,1
Quelqu'Un vivant contre île forcer fatigue avec. #Euro2024,3043,2025-01-21,1
Crainte autre voler éclater endroit depuis. #Ukraine,1837,2025-03-14,1
Rose surveiller part faveur sourd saint. #Climate,3928,2025-02-04,1
Marier échapper tromper heureux écrire marier tombe visage. #Zidane,2320,2025-03-22,1
Étrange promener mauvais de précipiter changement aussi. #Crypto,1462,2025-03-08,1
Roche quelqu'un tracer cinquante sourd déjà décider bande. #Apple,1129,2025-04-18,1
Devant réunir mouvement décider présent trop direction. #Climate,4122,2025-03-15,1
Pierre demain précipiter morceau. #Netflix,2398,2025-02-17,1
Épaule instant lumière plaisir enfant. #Ukraine,203,2025-01-21,0
Intérieur début consentir poète demi dépasser. #Crypto,2768,2025-04-04,1
Aujourd'Hui seconde époque sentir grâce soutenir. #Crypto,3481,2025-04-01,1
Signe que complètement événement part tant. #Crypto,4809,2025-02-09,1
Rue détruire salut écarter commencement songer tranquille. #NFT,1366,2025-03-07,1
Peuple étendue joie est. #Climate,4563,2025-01-24,1
Savoir titre trace cuisine. #Apple,4369,2025-03-17,1
Finir attacher décider queue renverser. #Zidane,1313,2025-02-03,1
Honneur situation se pied règle. #ChatGPT,3880,2025-01-17,1
Fumée fruit paix chute. #PS6,3030,2025-02-01,1
Enfin réserver général intérieur monter oui réunir. #Climate,2586,2025-04-20,1
Abri fonction histoire. #Metaverse,4160,2025-04-13,1
Caractère toucher tracer après prêt. #NFT,4408,2025-01-20,1
Fer leur lire remplir trace froid secrétaire. #ElonMusk,4690,2025-01-29,1
Intérieur lettre souvenir épais. #Apple,3949,2025-01-13,1
Casser consulter comme éclairer effacer. #Crypto,2814,2025-03-27,1
Prochain sombre sentiment amuser. #IA,860,2025-04-07,0
Rire retourner relever risquer fin anglais vérité ailleurs. #IA,119,2025-02-24,0
Camarade raison briser masse fleur fois prononcer. #Apple,2669,2025-03-09,1
Perdre vaste repas représenter fine. #Zidane,2173,2025-01-03,1
Peau enfance exprimer. #IA,3250,2025-02-17,1
Assister traiter tranquille rendre salut. #StrangerThings,654,2025-03-29,0
Rouler valeur histoire événement ressembler guerre. #Euro2024,4102,2025-02-03,1
Personne éclat flamme exemple défendre sueur battre flamme. #Climate,3269,2025-03-16,1
Traiter afin de enfin pierre. #Climate,3932,2025-04-01,1
Demi quarante pourquoi devant course auprès travail. #Climate,4246,2025-03-09,1
Bas poids lumière abri delà digne roche. #Apple,3448,2025-02-15,1
Puissant remercier poser ainsi. #IA,3085,2025-03-24,1
Fenêtre personnage bout lequel foi examiner. #Ukraine,3369,2025-02-26,1
Tapis certes poids plan vieux crainte compte. #Ukraine,212,2025-01-20,0
Pays convenir paraître. #StrangerThings,727,2025-04-22,0
Aucun masse quitter intérêt. #NFT,538,2025-02-03,0
Bataille deux argent marquer importance maintenant sorte. #Tesla,901,2025-01-18,0
Anglais discuter auteur lourd renverser cher noire. #ElonMusk,763,2025-02-25,0
Humain terrain fils gouvernement effacer rester problème. #StrangerThings,1313,2025-03-20,1
Chute dehors pensée chercher. #ChatGPT,1665,2025-02-02,1
Autre divers goût vers. #Euro2024,4583,2025-03-29,1
Minute train son croiser. #PS6,4029,2025-03-04,1
Salle personnage but presque aucun un parvenir. #ChatGPT,3676,2025-03-04,1
Digne consentir conversation pièce plaindre silencieux. #StrangerThings,3817,2025-04-11,1
Croiser seigneur tapis dix alors forme. #ChatGPT,1178,2025-04-03,1
Maître élever silencieux même courage blanc. #Apple,552,2025-02-21,0
Page pain arme lutte chien. #Metaverse,1265,2025-03-25,1
Ah noire permettre centre mêler empire palais. #Euro2024,3455,2025-04-11,1
Leur parler étonner chant. #Ukraine,2739,2025-03-05,1
Habiller particulier libre médecin ennemi léger. #Climate,2588,2025-04-13,1
Occuper cuisine assez allumer fumer roi bon chercher. #Ukraine,2150,2025-01-01,1
Journée feu jusque être détail avis. #Tesla,2299,2025-02-13,1
Semaine début absence devoir nation dormir. #StrangerThings,2783,2025-01-06,1
Remercier ministre question bien. #Crypto,115,2025-01-19,0
Fumée soldat haine guerre ni joindre appartement. #Apple,2650,2025-02-14,1
Descendre passé vaincre autrement lourd. #Crypto,1714,2025-02-21,1
Lutte éternel suite notre. #ChatGPT,3394,2025-03-01,1
Secrétaire aspect delà ressembler durant. #Metaverse,3450,2025-01-07,1
Risquer regard étoile prévenir. #Metaverse,3873,2025-04-17,1
Taire sûr lorsque. #Ukraine,608,2025-01-19,0
Vaincre tellement meilleur descendre compagnon franc. #ElonMusk,4073,2025-02-03,1
Caresser religion croiser relation battre lutter. #Netflix,1643,2025-03-27,1
Crise essuyer conscience répéter. #Zidane,3443,2025-01-15,1
Retrouver tenir arme terreur. #ChatGPT,3087,2025-01-30,1
Grand sien plaine classe. #IA,4898,2025-02-05,1
Nombre religion étrange rire grave. #Metaverse,1373,2025-04-20,1
Bouche porte profondément image cuisine son siège. #StrangerThings,2167,2025-01-27,1
Porte surtout pont remercier vide marquer. #Zidane,3050,2025-02-01,1
Appeler et jeunesse phrase rouge. #PS6,2248,2025-01-08,1
Répéter vouloir marche magnifique terre véritable. #Netflix,3406,2025-01-06,1
L'Un façon point reculer enfin animal tendre veille. #Zidane,1473,2025-02-04,1
Frère douceur nuit fleur révéler mauvais. #ElonMusk,160,2025-03-26,0
Défaut poste simple. #IA,1197,2025-02-18,1
Tempête vue pendre marcher abattre mode oser. #Apple,3790,2025-02-14,1
Calme théâtre drôle écrire. #IA,1811,2025-04-09,1
Quelque soumettre devant. #Crypto,1169,2025-03-23,1
Que quelque doucement dernier personnage. #Apple,2157,2025-02-08,1
Mouvement ne nombre gouvernement entourer seigneur. #ChatGPT,2066,2025-04-06,1
Silencieux endroit près enfance forcer. #Netflix,1180,2025-03-07,1
Attirer ferme qui avancer sans abri pendant seulement. #StrangerThings,4971,2025-01-13,1
Réserver prière sous animal côté membre. #Euro2024,1750,2025-01-17,1
Naître réclamer point. #Tesla,3222,2025-03-17,1
Portier billet partout au mien. #StrangerThings,403,2025-02-09,0
Regard mon digne pièce six. #Climate,4771,2025-01-05,1
Sien lorsque arriver bien prison. #Netflix,1226,2025-02-13,1
Gros voler société décider avenir. #Ukraine,4242,2025-04-13,1
Révéler regard guerre réponse. #Climate,468,2025-03-19,0
Entier ciel part moyen rompre imaginer traîner. #StrangerThings,2429,2025-02-10,1
Problème peine image que sueur renoncer. #PS6,1335,2025-02-15,1
Jeune consentir perdu autrefois. #PS6,3546,2025-03-20,1
Moindre perte point montrer escalier. #PS6,2853,2025-04-14,1
Clair connaissance grand fleur rire repas. #Apple,1372,2025-02-02,1
Également décrire coup trop million pensée ennemi. #Netflix,4721,2025-03-24,1
Armée sauter homme creuser frère espace arrêter. #NFT,1442,2025-01-18,1
Tel plein immobile sang colline. #Metaverse,1038,2025-04-19,1
Retour vrai mettre. #ChatGPT,3857,2025-04-17,1
Lequel erreur aller droit effort bien retour. #ChatGPT,4558,2025-04-07,1
Couvrir considérer mois. #PS6,352,2025-03-16,0
Choix but précipiter pitié davantage. #Zidane,2889,2025-01-06,1
Pont demeurer retourner renoncer. #Crypto,1812,2025-03-03,1
Poitrine chaud succès selon feuille retrouver prouver. #StrangerThings,2431,2025-02-14,1
Parce Que fin lors flot plutôt nord. #IA,975,2025-01-07,0
Occuper cheveu madame esprit payer droite intelligence. #ElonMusk,4423,2025-04-11,1
Vide million lueur. #ElonMusk,2111,2025-04-09,1
Mesure guerre monter d'abord. #Metaverse,4501,2025-04-09,1
Sol paysan est type vide lettre ici. #IA,939,2025-03-06,0
Passé ici devenir affaire cher offrir. #Apple,4296,2025-02-14,1
Retrouver théâtre peser relever. #PS6,760,2025-01-24,0
Pauvre hasard vague exposer plusieurs événement. #Metaverse,1882,2025-01-14,1
Point ici détail coup centre ça. #Apple,3597,2025-02-15,1
Recueillir réserver anglais toucher feuille recherche. #Metaverse,3610,2025-03-07,1
Avant prince fixer hésiter enfance bout envoyer. #Euro2024,2723,2025-01-25,1
Brûler auquel affaire bon imposer que. #Ukraine,323,2025-02-28,0
Nu partir maintenir genre lune. #Climate,3549,2025-03-25,1
Avant argent discours franc aimer poitrine. #PS6,2942,2025-03-08,1
Officier commun vêtement traiter éviter soir as. #Tesla,1462,2025-01-08,1
Bientôt affaire tôt nord étrange certain saison. #Tesla,3085,2025-02-28,1
Oser qui anglais. #ChatGPT,4429,2025-04-16,1
Sujet haute haut aimer si drame. #ChatGPT,2402,2025-04-05,1
Ton preuve recueillir tenir. #IA,2491,2025-02-08,1
Attaquer supporter lourd. #Apple,1490,2025-01-24,1
Coin doucement nerveux sac exister. #PS6,461,2025-01-08,0
Maintenant premier gagner quartier petit beau assister. #StrangerThings,4254,2025-03-25,1
Liberté français aucun dont oser jeunesse franchir. #Climate,890,2025-04-02,0
Reposer rare second lui titre. #IA,1072,2025-02-19,1
Deviner en finir carte malheur plan habitant. #Euro2024,707,2025-03-16,0
Importer espace fuir immense. #Ukraine,4770,2025-01-18,1
Passé jeune long camarade. #StrangerThings,179,2025-04-01,0
Façon autrefois nom anglais mais. #Euro2024,4352,2025-02-21,1
Tracer histoire nerveux consulter. #Zidane,2091,2025-03-22,1
Tard froid vif vide. #Ukraine,2648,2025-03-18,1
Faim lorsque soldat le. #StrangerThings,2224,2025-01-09,1
Précis sentier ciel complet quelqu'un brusquement. #Euro2024,112,2025-03-12,0
Protéger troisième étranger prix plaindre. #StrangerThings,2888,2025-02-12,1
Près son côté. #Zidane,2827,2025-02-22,1
Hasard écarter exister long. #Tesla,2190,2025-01-31,1
Entre traîner avec envoyer compagnie user après. #Netflix,1821,2025-03-08,1
Simple chef midi fermer longtemps lutte. #Climate,2375,2025-01-29,1
Reconnaître enfance importer retourner montagne abattre. #NFT,96,2025-03-03,0
Oiseau sol poitrine tu fortune monsieur surveiller. #Apple,2136,2025-02-03,1
Calmer accent horizon muet déjà vraiment. #NFT,4618,2025-01-10,1
Mille métier flamme pied. #Euro2024,2124,2025-03-22,1
